1.34E-02;1.45E-02;1.69E-02;2.15E-02;1.18E-02;2.03E-02
5.18E-02;5.67E-02;5.49E-02;3.17E-02;5.48E-02;5.48E-02
3.21E-02;2.22E-02;2.60E-02;2.10E-02;3.00E-02;3.14E-02
9.78E-02;9.78E-02;9.78E-02;9.78E-02;9.78E-02;9.78E-02
5.18E-02;9.03E-02;2.59E-02;4.12E-02;4.18E-02;3.46E-02
2.92E-02;3.09E-02;2.20E-02;2.44E-02;2.23E-02;2.57E-02
1.28E-02;1.14E-02;1.29E-02;1.29E-02;1.21E-02;1.39E-02
2.32E-02;2.75E-02;1.15E-02;3.06E-02;2.51E-02;2.79E-02
9.97E-03;1.81E-02;2.45E-02;2.47E-02;1.81E-02;1.87E-02
3.21E-02;3.18E-02;3.38E-02;3.38E-02;6.64E-02;6.64E-02
5.68E-02;5.68E-02;5.68E-02;5.68E-02;5.68E-02;5.68E-02
2.68E-02;1.29E-02;1.90E-02;4.06E-02;4.06E-02;4.06E-02
9.81E-02;9.81E-02;9.81E-02;9.81E-02;9.81E-02;9.81E-02
9.81E-02;9.81E-02;9.81E-02;9.81E-02;9.81E-02;9.81E-02
1.67E-02;1.67E-02;1.34E-02;1.86E-02;1.12E-02;1.23E-02
9.81E-02;9.81E-02;9.81E-02;9.81E-02;9.81E-02;9.81E-02
9.80E-02;9.80E-02;9.80E-02;9.80E-02;9.80E-02;9.80E-02
1.38E-02;1.98E-02;2.19E-02;1.13E-02;2.23E-02;1.78E-02
9.76E-03;8.95E-03;1.21E-02;8.99E-03;1.26E-02;1.45E-02
9.07E-03;1.82E-02;1.83E-02;1.61E-02;1.82E-02;1.87E-02
9.80E-02;9.80E-02;9.80E-02;9.80E-02;9.80E-02;9.80E-02
1.92E-02;1.57E-02;1.02E-02;2.41E-02;1.61E-02;1.65E-02
7.66E-02;9.83E-02;9.83E-02;9.83E-02;9.83E-02;9.83E-02
9.86E-02;9.86E-02;9.86E-02;9.86E-02;9.86E-02;9.86E-02
1.38E-02;2.30E-02;9.72E-03;1.69E-02;1.71E-02;2.26E-02
1.73E+00;2.41E-02;2.39E-02;2.11E-02;2.20E-02;1.79E-02
1.83E-02;2.03E-02;1.44E-02;1.99E-02;2.05E-02;2.20E-02
2.31E-02;3.31E-02;1.34E-02;3.13E-02;3.50E-02;2.87E-02
2.51E-02;1.77E-02;1.41E-02;1.33E-02;1.81E-02;1.42E-02
9.80E-02;9.95E-02;9.95E-02;9.95E-02;9.95E-02;9.95E-02
